Title,Author,Desc,Inerest_age,Reading_age
Dead Jealous,Sharon Jones,"When Poppy Sinclair finds the body of a young woman washed up on the shore of a lake, she is convinced it is a case of murder rather than the tragic accident or suicide which is the theory favoured by police.
As Poppy struggles with memories of her own near-death experience and the pain of seeing the boy she loves with another girl, she finds it difficult to draw clear lines between reality and imagination -  especially as people and things are not always what they seem. Yet despite the risks, she is determined to prove that someone close by is a murderer...
This is an engaging, complex and  thoughtful thriller, featuring a plot thick with lies, secrets, deceit and jealousy.",13+ ,13+                               
A Flash of Blue,Maria Farrer,"Since Amber's eighteen year old brother Liam died suddenly a year ago, her life has been miserable as her family struggles with their grief. So when Liam's best friend Tyler shows an interest she feels she has found someone who understands. However, she soon finds she is involved in something beyond her control and things go from bad to worse. Can she find the strength and resolve to put things right when her whole life feels such a mess?
A gripping story of love, grief, friendship and trust. The characters and their situations are completely believable and Amber's doubts, guilt and confused emotions are written with real understanding. Ultimately uplifting, this is a compelling read.",13-15 ,10+                               
Jet Black Heart,Teresa Flavin,"Dory is having a boring family holiday in a small sea-side town in England. Her dorky younger sister, Gracie, has become obsessed with letter-boxing - an old fashioned game where hunters locate hidden 'letter boxes' and claim the stamp hidden inside them.
While reluctantly out on one of these hunts Dory stumbles across a very old letter-box, one that contains a note from the late 1800s, and one with the magical power to pull her back to that time. It is there she meets the mysterious and beautiful Eli who has been cast out of his family home and cut off from his beloved sister by their cruel father. Eli convinces Dory to help him but she quickly realises not everything is as it seems. Will she be able to discover the truth before it is too late?
This dyslexia-friendly novel is a great, short read. The relationship between sisters Dory and Gracie is particularly believable, as the girls bicker constantly. It is fast paced and exciting, with enough plot twists to keep you guessing to the end.",11+ ,11+                               
The Sin Eater's Daughter,Melinda Salisbury,"Seventeen-year-old Twylla lives in the castle and is betrothed to the prince, but she isn't a princess or a member of court. Twylla is the court executioner. As the Goddess embodied, she can kill with a single touch. Only the prince, with his royal blood, is immune to her touch, but even he avoids her. Then a new guard arrives, one with an easy smile that belies his deadly swordsmanship. He sees past the executioner robes to the girl beneath, and a friendship blossoms between him and Twylla, a friendship that could be more if Twylla wasn't promised to the prince. But her romantic problems are trivial when she discovers the mad plan that the power-hungry and vicious queen is plotting. As everything begins to spiral out of control, Twylla has to decide who she trusts, who she loves, and what she is willing to do for her kingdom.
The Sin Eater's Daughter is a truly original fantasy set in a richly imagined world full of complex and complicated characters. The world is multi-layered and Salisbury deftly weaves in original legends, myths, and histories to bring the world to life. Against this backdrop, political schemes and wicked plots unfold, with Twylla caught in the middle of it all. The plot is as intricate as the world and full of unexpected twists, each one more shocking than the last. The Sin Eater's Daughter is a delicious read, and while the ending is satisfying, it will leave readers hungry for the next instalment in the series.",14+ ,14+                               
King Lear - Manga Shakespeare,William Shakespeare,"The story of Lear, the old chieftain, who divides his kingdom among his three daughters is the most terrifying tragedy ever written.Shakespeare’s apocalyptic play is vividly transferred to the colonial frontiers of 18th-century America, where it is the last of the Mohicans who is bound upon a wheel of fire...Part of the popular Manga Shakespeare series of graphic novel adpatations of Shakespeare's plays - perfect for introducing Key Stage 3 students to Shakespeare. Ilya's illustrations match the intensity of the play to bring this tragic classic vividly to life.",11+ ,11+                               
Frankenstein,Mary Shelley,"Obsessed with the idea of rivalling God and creating life, Victor Frankenstein plunders graves for corpses to make a new being, which he later shocks into life with the new invention of electricity. However, the creature disgusts him and he rejects it. Cast out by Frankenstein and denied human contact, the Monster sets out to destroy his maker and all that he holds dear.
This chilling gothic tale, begun when Mary Shelley was just nineteen years old, would become the world's most famous work of horror fiction, and remains a devastating exploration of the limits of human creativity.",13+ ,13+                               
The Song from Somewhere Else,"AF Harrold
Illustrator: Levi Pinfold","Frank is being bullied - for what, she's not sure. Being smart? Being different, perhaps. One day, after the bullies throw her bag in the middle of a huge patch of stinging nettles, Nick Underbridge comes to her aid - a strange boy that everyone makes fun of at school for his hugeness and odd, unidentifiable smell. 
As Frank and Nick become friends, Frank discovers something strange and wonderful in Nick's basement - and an explanation for what holds him apart from the others at school.
A sometimes sad and sometimes wry tale of bullying and fitting in, The Song From Somewhere Else is also a magical tale about how - sometimes - people might feel alien to us, but that families are universal, whoever you are.
Levi Pinfold's stunning, intricate and moody illustrations add an extra layer of atmosphere to this heartfelt and beautifully strange story.
Winner of the Kate Greenaway Amnesty CLIP Honour in 2018.",8+ ,8+                               
Amy & Roger's Epic Detour,Morgan Matson,"Amy Curry’s life is a disaster. Her father recently died in a car accident, which Amy feels was her fault. She is feeling isolated, struggling to come to terms with her feelings, when her mother decides to move to the other side of the country arranging for a family friend, Roger, to drive their car from California to Connecticut. When Roger suggests a detour from the planned route, Amy and Roger embark on an adventure of self discovery, enabling Amy to finally come to terms with the past and move on with her life.This is a heart warming story about facing up to the complexities of life and winning through. The text is interspersed with flashbacks slowly revealing the events of the accident with souvenir snippets of the trip, including music playlists cleverly playing out all the emotions Amy and Roger experience along the way. This is a well devised story with lots to appeal to older readers.",12+ ,12+                               
The Changes Trilogy,Peter Dickinson,"Gripped by a strange fear, England closes its doors to the outside world. In a tunnel beneath Wales one man opens a crack in a mysterious stone wall, and all over the island of Britain people react with horror to perfectly normal machines. Abandoning their cars on the roads and destroying their own factories, many flee the cities for the countryside, where they return to farming and an old-fashioned life. When families are split apart and grown-ups forget how they used to live, young people face unexpected challenges.
A classic in the teen sci-fi genre, perfect for those who have read all the contemporary YA dystopian novels and want to see where it all began.",14+ ,13+                               
The Train to Impossible Places,P.G. Bell Illustrator: Flavia Sorrentino,"Suzy Smith is very surprised when a huge magical train takes a shortcut through her downstairs hallway one evening. Staffed by trolls, the Impossible Postal Express delivers letters and parcels across a series of magical worlds connected to our own: the Union of Impossible Places.
Her curiosity getting the better of her, Suzy hitches a ride and becomes the newest postie. But when her first delivery goes disastrously wrong, she's not only caught up in an amazing magical adventure, but the fate of the Union itself rests on her shoulders...
Two towers locked in a power struggle, a cursed boy trapped in a snowglobe, warrior statues, wormholes and negotiable gravity are just a few things Suzy encounters on her incredible journey. Knowledge is power in the Impossible Places, but who is telling the whole truth? Suzy has a brilliant scientific mind, but isn't really one for thinking about consequences – she tends more towards jumping now and thinking later, though her heart is definitely in the right place.
This roller-coaster of a book is pacey, fun, and full of lots of fantastical new ideas.",10-12 ,10-12                               
Half Brother,Kenneth Oppel,"Oppel bases his first YA novel on projects in the 1970s which tested the capability of chimpanzees to acquire sign language.
His setting, facts, and outcomes closely mirror events then, and we meet thirteen-year old Ben, an only child whose researcher parents adopt a neonate chimp, Zan, and rear him as part of the family.
Readers are drawn into the tension between the emotional bond which Ben and his mother form with Zan, the demands of the research which dominate the attitude of Ben's more inhibited father, and the increasingly fraught relationship he has with his wife and son.
Oppel also examines Ben’s teenage angst over his own personal relationships, and the ethics of animal experimentation in this absorbing novel.",11+ ,9+                               
Holding Up the Universe,Jennifer Niven,"Jennifer Niven's deeply compelling and highly successful first teen novel All The Bright Places was very much for an older audience with its themes of depression and suicide. Her new book Holding Up the Universe is suitable for younger teens as well - and just as powerfully written.
The book is narrated in turns by Libby, famous for once being 'America's Fattest Teen' and starting high school after years of being home schooled, and Jack, who seems to be one of the popular kids but secretly suffers from Prospagnosia - the inability to recognise the faces of familiar people even those in this own family which is often called 'face blindness'. Their worlds collide in a horribly cruel high school game and an unlikely friendship is formed that leads to something even deeper.
Jennifer Niven is a gorgeous writer. Her characters Libby and Jack feel so real that it's almost impossible to believe they don't live and breathe. The author herself struggled with weight issues and anxiety over the years, particularly as a teenager, so this writing comes from the heart. The spotlight on prosopagnosia sheds an interesting light on a little known but not so uncommon condition. The ultimate message is uplifting and positive and one that teenagers everywhere need to hear: be yourself and you deserve to be wanted and loved for who you are. ",14+ ,12+                               
Pop-Up Frankenstein,"Claire Hawcock (adapted from Mary Shelley) Illustrator: Anthony Williams (Art) Rob Taylor (colour) and David Hawcock (Pop-ups)
","Frankenstein tells the story of a privileged and self-absorbed young man whose arrogant obsession leads him to create a monstrous version of a human being.
Frankenstein abandons the physically grotesque creature he has created, leaving it to be reviled and rejected by mankind. As a consequence, its gentle nature is twisted and distorted until it becomes a veritable monster, wreaking havoc and bringing death and destruction in its wake.
This remarkable new version blends the finest contemporary illustration, dramatic storytelling and superb paper engineering. A combination of comic strip detail and stunning pop-ups on every spread bring each moment of the story to life, from the monster's creation to his dramatic demise.",9+ ,9+                               
Mister Creecher,Chris Priestley,"Billy is a street urchin, pickpocket and petty thief. Mister Creecher is a monstrous giant of a man who terrifies all he meets. Their relationship begins as pure convenience. But a bond swiftly develops between these two misfits as their bloody journey takes them ever northwards on the trail of their target ... Victor Frankenstein.
Friendship, trust and betrayal combine to form a dangerous liaison in this moving and frightening new book from Chris Priestley.",12+ ,11+                               
The Complete Calvin and Hobbes,,"The comic-strip adventures of Calvin, a naughty boy with a philosophical bent, and his soft toy tiger companion Hobbes, delighted readers from 1985 to 1995. The huge achievement of the comic's creator Bill Watterson is celebrated here in this wonderful cloth-bound three-volume box set, which contains in chronological order every Calvin and Hobbes strip.  For those who have never experienced the sheer delight of Watterson's creation, here is a brief summary: Calvin is an active and imaginative little boy; his friend Hobbes appears as a stuffed tiger when other people are around, but when the two of them are alone he comes to life and is Calvin's friend and playmate. They live with Calvin's long-suffering parents, who have to cope with his turbulent behaviour.  The charm of the strip is multi-faceted. On the one hand, Calvin is a typical six-year-old with a vivid imagination: one minute he is fearless intergalactic traveller Spaceman Spiff, crash-landing on a hostile planet, the next he is a fearsome T-Rex stalking his victim through the Jurassic jungle. He is in thrall to consumerism, hates school, loves making gruesome snowmen, and plays Calvinball, an anarchic game of ever-changing rules.  Yet he is also given to philosophising about the big issues of life, ably supported or gently undermined by Hobbes's quietly caustic asides (the tiger's name is no coincidence). Here is an outlet for Watterson's deeply-held views about the craziness of the modern world; indeed, the artist himself has always shunned publicity.  The strip is also enhanced by its strong cast of supporting characters. Mrs Wormwood the teacher looms over Calvin when he not paying attention; the school bully (who calls Calvin Twinky) is always on hand to 'pound' him; Susie, the little girl from down the road, often gets her own back on her snowball-throwing nemesis.  Calvin's dad is a particularly funny creation: long-suffering, anti-media, and a proponent of fresh air, he also manages to get his revenge on his manic son by tying him up in mental knots with spurious bits of information (for example, he tells Calvin that old photographs are black and white because the world comprised only those colours in the past).  All these ingredients would, in the right hands, combine to make a perfectly good comic strip, but what always put Calvin and Hobbes ahead of the competition was the sheer artistry of Watterson's illustrations. In this regard, the chronological arrangement of the strips usefully shows Watterson's increasingly sophisticated technique, from his drawings of desert canyons and hideous inhabitants of alien planets, to the facial expressions of all his characters.  It is hard to deny that Watterson owes a debt to Charles Schulz, whose Peanuts strip also offered a sophisticated yet deceptively simple evocation of the inner lives of children. For Calvin and Hobbes, however, Watterson combined uncanny ability, more than a touch of surrealism and a huge dose of humour to distil the essence of late-twentieth-century childhood, thereby elevating his strip into a league of its own.",9+ ,8+                               
Don't Pick on Me!,Rosemary Stones,"Practical advice for children on how to handle bullying. Jane's class think that wearing the 'right' label clothing is very important, and her classmates start to make fun of her: 'What a fleabag!', 'Where did you get that coat - the Oxfam shop?' Jane wishes she didn't have to go to school; she is beginning to dread each new day. Michael isn't good at football. The other boys make fun of him, banging into him 'accidentally' and tripping him up when the games teacher isn't looking. Michael's mum wonders why he's always covered in bruises, but Michael won't say.Bullying encompasses many things: being called names, being beaten up, having your bus fare stolen, being made to feel stupid... It's always horrible. Almost everyone gets bullied at some point in their life; often it happens at school. But you don't have to accept being bullied, and if you're a bully, you can learn to stop. This book explores why some people bully, why others are bullied and what you can do to change things.",9+ ,9+                               
Five Hundred Miles,Kevin Brooks,"In the industrial wastelands of east London, two brothers are delivering forged vehicle documents. As soon as they walk into the pub, Cole knows something is going on: why are three men taunting one young, desperate girl over a caged pet monkey? 
Cole looks away; otherwise, he'll have to do something. She reminds him of his sister. He doesn't want to get involved - but then he does, and things move quickly. 
Cole, his brother and the girl are driving away northwards, leaving behind new enemies and casting off from their old damaged lives. They're heading for something new…
The characters and landscapes they inhabit - external and internal - are vividly described, in this stark, intense, plot-driven, cinematic story of hoping for better. Deceptively simple, it quietly grabs you - then pulls you in. ",13+ ,9+                               
Rules for a Knight,Ethan Hawke Illustrator: Ryan Hawke,"On the eve of battle, Sir Thomas Lemuel Hawke of Cornwall writes a letter to his children. It is a guide on how to live well, like a knight: staying wise, humble, courageous, loving and kind.
Hawke has tried to make this book look as authentic as possible. The cover stands out with a gold-embossed leaf. Inside, an editor’s note talks about the discovery of the ‘historical’ letter, confirming Sir Thomas's death at the Battle of Slaughter Bridge in 1483.It all gives the book an important and timeless feel. Hawke has a way with a sentence, and many of the sections read like note-perfect proverbs. There are also some lovely, tender scenes with the grandfather. It can be a little dense at times, so children may want to dip in and out of the short, standalone chapters. But the book is pitched in such a way that they can get new meaning from it as they grow into teenagers and young adults.",7+ ,10+                               
Paper Avalanche,Lisa Williamson,"Fourteen-year-old Ro Snow’s got a secret: her house is filled to the doors with her mother’s hoarded rubbish: it’s so bad that there’s even rubbish in the bath, meaning the only way that Ro can stay clean is by using the tiny shower cubicle. Yet Ro fears if anyone finds out how bad the house is, she’ll be taken into care, so she’ll do anything to stay under the radar.
Seemingly unwelcome in her dad’s new life with his perfect new wife and daughter, Ro doesn’t have anyone to confide in. That is, until Tanvi Shah, returning to school after beating cancer, makes it her mission to make friends with Ro – and enlist her in the school choir, where Ro discovers that she has a great voice. Add in a beautiful but equally lonely boy, Noah, and things start to get complicated, especially when Ro’s singing threatens to disrupt her carefully constructed anonymity.
Ro and Bonnie’s mother-daughter dynamic is sensitively written, and the book explores Bonnie’s mental health issues and their effect on Ro with compassion, alongside Tanvi’s relationship with her family and her past illness. A brilliant, thoughtful read.
Parents should be advised that the book contains some swearing.",12+ ,12+                               
Ghost World,Daniel Clowes,"Daniel Clowes is able to tell brilliant stories of stunted growth and wanting to be a child forever but dealing with the world around you and its grotesque circus of disgusting yet similarly childlike characters.  This is an examination of the lives of two recent high school graduates from the advantaged perch of a constant and undetectable eavesdropper, with the shaky detachment of a scientist who has grown fond of the prize microbes in his petri dish.",13+ ,13+                               
Invictus,Ryan Graudin,"Farway Gaius McCarthy was born in the future, in the past and out of time. In a world where time travel is a possible career, he has a bright future (and past) in front of him. He doesn’t just want it, he needs it, because his mother vanished on the time travelling ship Ab Eterno, and he wants to find her more than anything.
So when an inexplicable glitch in his final examination ends his hopes at a single stroke, he has no choice but to take up the less-than-legal offer of captaining the Invictus through time and space. What he doesn’t realise is that the glitch was planned. Someone is playing him – someone who is a lot closer to him than he could ever have imagined. What is at stake is more than his career, more than his mother, and even more than his life.
Graudin weaves an exciting plot where time travel is just the beginning. Her characters are spunky, smart-mouthed, tormented, emotionally yearning and contemporary. It’s Firefly meets Assassin’s Creed, but Graudin has a way with words that gives the book depth and makes it more than just an enjoyable page-turner.",11+ ,11+                               
The Name of the Star,Maureen Johnson,"Louisiana teenager Rory is embarking on a new life at an East London boarding school. But even as she arrives at her new school for the first time, a terror is stalking the city streets. A series of brutal murders has broken out across London - crimes that mimic the infamous Jack the Ripper murders that took place more than a century ago.As a fever of 'Rippermania' spreads across London, Rory finds herself unexpectedly entangled in these dark events when she alone sees the man who the police believe to be the prime suspect. But why didn't anyone else notice the sinister man -  and is Rory herself about to become the next target?
The first in Maureen Johnson's Shades of London series is a dark, gripping thriller set in contemporary London, which puts a fresh spin on the paranormal. Readers looking for excitement and suspense will be gripped by the hectic twists and turns of the plot, and the final cliffhanger of an ending, but there's plenty of Johnson's trademark wit in evidence too.",13+ ,13+                               
Spy for the Queen of Scots,Theresa Breslin,"Beautiful young aristocrat Ginette, known as Jenny, is the closest friend and confidant of Mary, the young Queen of Scots. Growing up in the French court dominated by the ruthless Catherine de Medici, Jenny is all too familiar with ambition, intrigue and secrets. When she hears a whispered plot against Mary, she sets out to become a spy to keep her dear friend safe, little realising how much danger she will soon find herself encountering.
Following the story of Mary Queen of Scots from her childhood in the French court to her return to Scotland to claim her throne, this is a sophisticated and meticulously-researched novel with clear crossover potential.  There is plenty of excitement in store as, facing betrayal on all sides, Jenny struggles to unravel the various plots against Mary, whilst fighting her own increasingly strong feelings for charismatic nobleman Duncan Alexander, who she is unsure whether she should trust.
Fans of historical fiction will enjoy this carefully-crafted and exciting story, which offers up a thoughtful and intriguing portrait of the young Mary Queen of Scots.",12+ ,12+                               
Jimmy Corrigan:,Chris Ware,"This extraordinary graphic novel is so obviously a labour of love that the reader can only marvel at the energy that has been expended in its creation.  Although the two plots that make up the book are essentially simple, the care with which Ware has executed them gives them an almost mythic quality. Jimmy Corrigan is a lonely, single, thirty-something with a boring job in an office cubicle, and a domineering mother who, in spite of living in a nursing home, is never far from the telephone or Jimmy. His crippling shyness renders him incapable of even saying hello to Peggy, the woman who works at an adjacent desk. When the father he has never known sends him an invitation and a plane ticket, Jimmy feels compelled to fly out to meet him.  Jimmy's (by and large disastrous) trip is mirrored by the boyhood tale of his grandfather, James, whose relationship with his father is tainted by unhappiness. (It's not as confusing as it sounds.) Young James's mother has died, leaving his father with the unwanted job of bringing up the little boy alone, while at the same time maintaining his job as a glazier at the 1892 Chicago World's Fair. James is a frightened little boy, cowed by his father and bullied at school; he has a vagueness and fragility common to young, lonely and fearful children, qualities that are inherited generations later by his grandson.  Chris Ware's illustrations are simply awe-inspiring in the true sense of the word. It is hard to believe that someone could put so much detail into each of the 380 pages that make up this incredible book, but there is a clue to his devotion in the afterword. After spending most of his life avoiding his own father, speaking only rarely on the phone, Ware finally met up with him: 'Gradually, the sublime outrageousness of our evening eroded into two people simply running out of things to say to each other. We weren't father and son anymore, just a pair of regretful men.'",14+ ,14+                               
The Martian Girl,,"Following on from the brilliant Lost on Mars, The Martian Girl follows a rip-roaring sci-fi adventure through the wild-west Martian prairie and the steampunk City of Inside. Aliens, humans, mad scientists and flying saucers abound, all leading up to the reveal of a dangerous secret. The heroine Lora becomes suspicious of Inside's authorities, and when she gets the chance to join an expedition back to her home on the Martian plains she takes it. However, when her flying saucer crashes Lora must lead on through a deadly environment to try to save her family.
Paul Magrs has managed to take the style of classical American children's books like The Little House on the Prairie and place it in a fantastical space opera, really setting it apart from the plethora of sci-fi/dystopian books out at the moment.",10+ ,10+                               
Buffalo Soldier,Tanya Landman,"Plantation slave Charley Smith is eleven when America blows itself apart, with Abraham Lincoln's decision to prohibit slavery. Charley thinks a slice of heaven is coming her way. But it's a taste of hell. Her surrogate mother is raped and lynched. Charley is left to burn in the cellar. But she survives, stealing the clothes from a dead man's back to enlist in the army. But clearing land and killing red Indians doesn't seem right. Nor does being a man when Jim, the Indian tracker, joins up…
A moving, gritty and convincing teenage historical drama where love and loyalty take on prejudice and greed.
*Contains scenes of violence and rape",13+ ,11+                               
Witchstruck,Victoria Lamb,"The future Elizabeth I has been imprisoned by her half-sister Queen Mary at the ruined, isolated palace of Woodstock, and 15-year-old Meg Lytton is sent to serve her. But Meg is no ordinary girl: taught by her aunt, a white witch, she has unusual magical gifts that soon become of interest to the outcast princess. But when Alejandro de Castillo, a young Spanish priest joins the household, Meg finds herself in peril - and realises she is rapidly falling in love with a dangerous enemy.
Victoria Lamb's first historical romance immerses readers in the atmosphere of intrigue and mutual suspicion of the Tudor court.  Fast-paced and suspenseful, this is a novel which will appeal to both fans of the supernatural and those with an interest in historical fiction.",12+ ,12+                               
The Girl Who Drank the Moon,Kelly Barnhill,"Every year, the evil Protectorate offers a baby to the evil witch in the forest to ensure their village’s safety. Yet, unknown to them, the witch is Xan, the plump and knowledgeable protector of the babies that she takes to the neighbouring village to be raised as special children, fed on starlight and destined to do wonderful things.
Yet, one day, Xan feeds one baby the moon by mistake and fills her with a huge amount of magic – a dangerous amount, as it turns out – so Xan decides to raise Luna as her own. But nothing is straightforward, and when Luna turns 13, everything will change.
Kelly Barnhill won the Newbery Medal in the US for this thoughtful and magical book about belonging, fear and family, and it’s easy to see why. The writing flows beautifully and Barnhill’s keen observation of human nature fits naturally into the story, which moves along at a satisfying pace.
Xan is a delightfully pleasant and caring crone witch who dispels the traditional image of cackling evildoer, and replaces it with something far more loving and magical. Perfect for young fans of Neil Gaiman, Ursula Le Guin and Diana Wynne Jones.",10-14 ,10-14                               
Time Between Us,Tamara Ireland Stone,"Sixteen-year-old Anna is struggling to understand Bennett, the new boy at school. One minute he seems interested in her and she feels they have a connection  - but the next, he avoids her and acts as if he hardly knows her.
When he saves her life, she finally discovers his secret and all the pieces of the puzzle fall into place. Anna realises they should never have been able to meet, let alone fall in love, because although he is a year older than her, Bennett was born in the year she turned 16. 
This compelling time-travel adventure in the tradition of The Time Traveller's Wife will appeal to young fans of romance. Engaging, poignant and complex, it is an unpredictable story that will keep readers engrossed until the last page.",13+ ,12+                               
